2005年 11月 15号,"November fifteen, two thousand and five",,,"April thirteen, twenty-twenty","September thirty, two thousand","August ten, twenty-nineteen","December twenty-five, nineteen-eighty",1
1979年 3月 24日,"March twenty-four, nineteen seventy-nine",,,"April thirteen, twenty-twenty","September thirty, two thousand","August ten, twenty-nineteen","December twenty-five, nineteen-eighty",1
1980年 12月 25日,"December twenty-five, nineteen-eighty",,,"April thirteen, twenty-twenty","September thirty, two thousand","August ten, twenty-nineteen","March twenty-four, nineteen seventy-nine",1
2019年 8月 10号,"August ten, twenty-nineteen",,,"April thirteen, twenty-twenty","September thirty, two thousand","March twenty-four, nineteen seventy-nine","December twenty-five, nineteen-eighty",1
2000年 9月 30日,"September thirty, two thousand",,,"April thirteen, twenty-twenty","March twenty-four, nineteen seventy-nine","August ten, twenty-nineteen","December twenty-five, nineteen-eighty",1
2020年 4月 13日,"April thirteen, twenty-twenty",,,"March twenty-four, nineteen seventy-nine","September thirty, two thousand","August ten, twenty-nineteen","December twenty-five, nineteen-eighty",1
请重复一遍。,Please repeat that.,,,How are you,I am feeling well,Please sit down,Please talk more loudly,2
怎么?,How?,,,Why?,What?,Where?,How long?,2
为什么?,Why?,,,When?,How?,Where?,Who?,2
哪里?,Where?,,,Why?,How?,When?,Who?,2
多久?,How long?,,,Why?,How?,Where?,Who?,2
何时?,When?,,,Why?,How?,Where?,How long?,2
多少岁?,How old?,,,Why?,How?,Where?,How long?,2
什么?,What?,,,Why?,When?,Where?,How long?,2
多少?,How many/much?,,,When?,What?,Where?,How long?,2
谁?,Who?,,,When?,What?,Where?,How long?,2
早上好,Good morning,,,Sunny,Weather,Good evening,Good afternoon,3
下午好,Good afternoon,,,Sunny,Weather,Good evening,Good morning,3
晚上好,Good evening,,,Sunny,Weather,Good morning,Good afternoon,3
天气,Weather,,,Sunny,Good morning,Good evening,Good afternoon,3
晴朗,Sunny,,,Good morning,Weather,Good evening,Good afternoon,3
sunny,晴朗,,,多云,下雨,下雪,刮风,3
raining,下雨,,,晴朗,多云,下雪,刮风,3
snowing,下雪,,,晴朗,下雨,多云,刮风,3
windy,刮风,,,晴朗,下雨,下雪,多云,3
cloudy,多云,,,晴朗,下雨,下雪,刮风,3
subway,地铁,,,出租车,公共汽车,汽车,自行车,3
bus,公共汽车,,,出租车,地铁,汽车,自行车,3
car,汽车,,,出租车,公共汽车,地铁,自行车,3
bike,自行车,,,出租车,公共汽车,地铁,火车,3
train,火车,,,出租车,公共汽车,地铁,自行车,3
taxi,出租车,,,火车,公共汽车,地铁,自行车,3
你的社会安全号码是什么?,What is your social security number?,,,When did you become a permanent resident?, How long have you been a permanent resident?,Why did you travel outside the United States?,Do you like living in America?,6
When did you become a permanent resident?,你何时成为了美国永久居民 ?,,,你的社会安全号码是什么?,你喜欢住在美国吗? ,你已成为永久居民多长时间了? , 你为何离开美国?,6
 How long have you been a permanent resident?,你已成为永久居民多长时间了? ,,,你的社会安全号码是什么?,你何时成为了美国永久居民 ?,你喜欢住在美国吗? , 你为何离开美国?,6
Why did you travel outside the United States?, 你为何离开美国?,,,你的社会安全号码是什么?,你何时成为了美国永久居民 ?,你已成为永久居民多长时间了? ,你喜欢住在美国吗? ,6
Do you like living in America?,你喜欢住在美国吗? ,,,你的社会安全号码是什么?,你何时成为了美国永久居民 ?,你已成为永久居民多长时间了? , 你为何离开美国?,6
 往左/右转,Turn left/right,,,Go down the hall,Please have a seat. ,Go around the corner, Wait right here,7
沿这走廊走,Go down the hall,,,Please sit down and wait. ,Please have a seat. ,Go around the corner, Wait right here,7
在拐角转,Go around the corner,,,Please sit down and wait. ,Please have a seat. ,Please sit down and wait. , Wait right here,7
请在这儿等, Wait right here,,,Please sit down and wait. ,Please have a seat. ,Go around the corner,Please sit down and wait. ,7
"你错了,请再试一次",That’s wrong/incorrect. Please try again.,,,Go down the hall,Tell me the answer,Go around the corner, Wait right here,7
跟着那个女士/先生走,Go with that woman/lady/man. ,,,Go down the hall,Tell me the answer,Go around the corner, Wait right here,7
告诉我答案,Tell me the answer,,,Go down the hall,Please have a seat. ,Go around the corner, Wait right here,7
请坐下等,Please sit down and wait. ,,,Go down the hall,Please have a seat. ,Tell me the answer,Go with that woman/lady/man. ,7
请坐下,Please have a seat. ,,,Go down the hall,Please sit down and wait. ,Tell me the answer,Go with that woman/lady/man. ,7
Where do you live?,I live in Boston,,,I lived in Boston,I will live in Boston,I want to live in Boston,I want to go to Boston,3
What do you do in your free time?, I like to read.,I like to sing,I like to dance,I am reading,I do not like to walk,I will sing tomorrow,I can read,3
What do you do in your free time?,I like to cook.,I like to read,I like to surf the web,I am cooking dinner,I like living here,I want to dance,I would like to learn to dance,3
How long have you lived there?,I have lived there for a year,I have lived here for a month,I have lived here for a while,I for a year have lived here,I live there for a year,"For a month, I live here",I live there for a month,3
How is the weather today?,It is sunny,The weather is great,It is windy,It is happy,,,,3
How is the weather today?,It is raining,It is windy,The weather is bad,The weather is snowing,,,,3
How did you come here today?,I took the subway,I took a bus,I came by car,I come here by a bus,I go by train,,,3
二十七,Twenty-seven,,,Twenty-seventh,,,,1
第二十三,Twenty-third,,,Twenty-three,Thirty-two,Thirty-second,,1
January,一月,,,三月,四月,,,1
March,三月,,,一月,四月,,,1
出生日期,Birthday,,,Anniversary,Date,Day,,1
Brown,棕色的,,,黑色的,,,,4
Black,黑色的,,,棕色的,,,,4
Hair,头发,,,眼睛,耳朵,,,4
Eyes,眼睛,,,头发,耳朵,,,4
Children,孩子,,,父母,孙子,,,4
Grandchildren,孙子,,,父母,孩子,,,4
How tall are you?,"I am 5 feet, 2 inches tall",,,I weigh 100 pounds,My eyes are brown.,My hair is white.,,4
How many children do you have?,你有几个孩子,,,你有几个孙子,你有几个女儿,你有几个儿子,,4
Foodstamp,食物票,,,工作,积蓄,社会福利,,5
Tax,税,,,工作,积蓄,社会福利,,5
Welfare,社会福利,,,工作,积蓄,食物票,,5
Savings,积蓄,,,工作,食物票,社会福利,,5
Job,工作,,,食物票,积蓄,社会福利,,5
How do you support yourself?,My children support me.,I am on welfare., I have a job.,Yes,I pay my taxes,,,5
Social Security Number,社会安全号码,,,家人,永久居民,旅游,,6
Permanent Resident,永久居民,,,社会安全号码,家人,旅游,,6
Vacation,旅游,,,社会安全号码,永久居民,家人,,6
Family,家人,,,社会安全号码,永久居民,旅游,,6
America,美国,,,加拿大,中国,英国,,6
China,中国,,,美国,加拿大,英国,,6
England,英国,,,美国,中国,加拿大,,6
Canada,加拿大,,,美国,中国,英国,,6
North America,北美,,,美国,中国,英国,,6
Do you miss anything about China?,I miss my family.,I miss the food.,"No, I do not miss anything.",I like to travel,The air is good,I want to sponsor my family to come to America,,6
Why do you want to be an American citizen?,To travel with a U.S. passport.,To obtain federal government jobs.,To get social security benefits.,I miss the food., My son.,I have been a permanent resident for 8 years.,,6
Left,左,,,右,做得好,,,8
Right,右,,,左,做得好,,,8
Corridor,走廊,,,楼梯,电梯,,,8
Wait,Wait,,,走,站起来,,,8
Wrong,错了,,,对,做得好,,,8
表示考官没有听清楚你刚说的话所以想让你重复一遍.,Pardon,Excuse me?,Can you repeat that?,I do not understand,Can you translate that?,,,8
