What is the supreme law of the land?,The Constitution,,,The Declaration of Independence,The Federalist Papers,The Bill of Rights
What does the Constitution do?,Sets up the government,Defines the government,Protects basic rights of Americans,Declared independence from Great Britain,"Provides life, liberty, and the pursuit of happiness",Freed the slaves
The idea of self-government is in the first three words of the Constitution. What are they?,We the People,,,More Perfect Union,The United States,We the Country
What is an amendment?,A change to the Constitution,An addition to the Constitution,,The Constitution,An addition to the Bill of Rights,An addition allowing suffrage to all people
What do we call the first ten amendments to the Constitution?,The Bill of Rights,,,Declaration of the Rights of Man,The Social Contract,The Federalist Papers
What rights or freedoms are guaranteed under the First Amendment?,Speech,Religion,Press,The Right to Bear Arms,States's Rights,Life
How many amendments does the Constitution have?,Twenty-seven,,,Nineteen,Eighteen,Twenty-six
What did the Declaration of Independence do?,Declared our independence from Great Britain,,,Outlined rights for Americans,Set up the government,Declared independence from France
What are three rights in the Declaration of Independence?,Life,Liberty,Pursuit of Happiness,Speech,Bear Arms,Press
"Freedom of religion means that you can practice any religion, or not practice a religion.","You can practice any religion, or not practice a religion.",,,You must practice a religion.,You must not practice a religion.,You must be Catholic.
What is the economic system in the United States?,Capitalist Economy,Market Economy,,Command Economy,Mixed Economy,Communist Economy.
"What is the ""rule of law""?",Everyone must follow the law.,,,Leaders do not have to follow the law.,The President does not have to follow the law.,Only citizens must follow the law.
Name one branch or part of the government.,Congress,President,Judicial,Police,Army,Navy
What stops a single branch of government from becoming too powerful?,Checks and balances,Separation of powers,,The democracy,The President,The Supreme Court
Who is in charge of the executive branch?,The President,,,Chief Justice,Vice President,Secretary of State
Who makes federal laws?,Congress,,,The President,The Chief Justice,The Supreme Court
What are the two parts of the U.S. Congress?,The Senate and the House of Representatives,,,The Courts and the House of Representatives,The Senate and the Courts,The President and the Courts
How many U.S. Senators are there?,One hundred,,,Four hundred thirty-five,Five hundred thirty-eight,Fifty
We elect a U.S. Senator for how many years?,Six,,,Two,Four,Eight
Who are your state's U.S. Senators now? (Depends on your state),Elizabeth Warren,Ed Markey,,Joe Kennedy III,Donald Trump,Barack Obama
The House of Representatives has how many voting members?,Four hundred thirty-five,,,Fifty,One hundred,Five hundred thirty-eight
We elect a U.S. Representative for how many years?,Two,,,Four,Six,Eight
Who does a U.S. Senator represent?,All people of the state,,,All people of the district,Citizens of the state,All people of the country
Why do some states have more Representatives than other states?,Because they have more people,,,Because they are bigger,Because they were original colonies,Because they have more money
We elect a President for how many years?,Four,,,Two,Six,Eight
In what month do we vote for President?,November,,,April,June,January
What is the name of the President of the United States now?,Donald Trump,,,Mike Pence,Barack Obama,Joe Biden
What is the name of the Vice President of the United States now?,Mike Pence,,,Donald Trump,Nancy Pelosi,Joe Biden
"If the President can no longer serve, who becomes President?",The Vice President,,,The Speaker of the House,The President,The Chief Justice
"If both the President and the Vice President can no longer serve, who becomes President?",The Speaker of the House,,,The Senate Majority Leader,The President,The Chief Justice
Who is the Commander in Chief of the military?,The President,,,The Vice President,The Speaker of the House,The Chief Justice
Who signs bills to become laws?,The President,,,The Vice President,The Speaker of the House,The Chief Justice
Who vetoes bills?,The President,,,The Vice President,The Speaker of the House,The Chief Justice
What does the President's Cabinet do?,Advises the President,,,Writes laws,Reviews laws,Vetoes bills
Which of the following are Cabinet-level positions?,Vice President,Secretary of Labor,Secretary of State,Speaker of the House,Senate Majority Leader,Chief Justice
What does the judicial branch do?,Reviews laws,Resolves disputes,Decides if a law goes against the Constitution,Writes laws,Enforces laws,Signs laws
What is the highest court in the United States?,The Supreme Court,,,The Federal Courts,The Circuits,Municipal Courts
How many justices are on the Supreme Court?,Nine,,,Two,One hundred,Five
Who is the Chief Justice of the United States now?,John Roberts,,,Nancy Pelosi,Mike Pence,Ruth Bader-Ginsberg
"Under our Constitution, some powers belong to the federal government. What are these powers?",To print money,To declare war,To create an army,Provide schooling and education,Give a driver's license,Provide safety
"Under our Constitution, some powers belong to the states. What are some powers of the states?",Provide schooling and education,Give a driver's license,Provide safety,To print money,To declare war,To create an army
Who is the Governor of your state now? (Depends on your state),Charlie Baker,,,Elizabeth Warren,Ed Markey,Joe Kennedy III
What is the capital of your state? (Depends on your state),Boston,,,Washington D.C.,Bismarck,"Liberty Island, New York"
What are the two major political parties in the United States?,Democratic and Republican,,,Capitalist and Independent,Green and Republican,Republican and Libertarian
What is the political party of the President now?,Republican,,,Democratic,Green,Independent
What is the name of the Speaker of the House of Representatives now?,Nancy Pelosi,,,John Roberts,Paul Ryan,Donald Trump
There are four amendments to the Constitution about who can vote. What do these include?,Citizens eighteen and older can vote.,Any citizen can vote.,You don't have to pay a poll tax to vote.,Citizens twenty-one and older can vote.,Literacy tests are a part of the voting process.,Only white men can vote.
What is one responsibility that is only for United States citizens?,Serve on a jury,Vote in a federal election,,Say the pledge of allegiance,Run for federal office,Serve in the military
Name one right only for United States citizens.,Vote in a federal election,Run for federal office,,Write to a newspaper,Join a political party,Campaign for a candidate
What are two rights of everyone living in the United States?,Freedom of speech,Freedom of religion,Freedom of assembly,Life,Liberty,Pursuit of happiness
What do we show loyalty to when we say the Pledge of Allegiance?,The United States,The Flag,,Our States,The President,The Constitution
What is one promise you make when you become a United States citizen?,Give up loyalty to other countries,Obey the laws of the United States,Serve the nation,Say the Pledge of Allegiance annually,To vote for elected officials,To serve on the jury
How old do citizens have to be to vote for President?,Eighteen and older,,,Twenty-one and older,Twenty-six and older,Sixteen and older
What are two ways that Americans can participate in their democracy?,Vote,Run for office,Join a political party,Have dual-citizenship,Voting online,Calling the President
When is the last day you can send in federal income tax forms?,April 15th,,,June 15th,July 16th,April 16th
When must all men register for the Selective Service?,At age eighteen,Between eighteen and twenty-six,,At age twenty-one,Between twenty-one and twenty-six,Between eighteen and twenty-one
What is one reason colonists came to America?,Freedom,Religious Freedom,Economic opportunity,To buy slaves,To declare independence from Great Britain,To establish a country
Who lived in America before the Europeans arrived?,American Indians,Native Americans,,Chinese,Africans,Australians
What group of people was taken to America and sold as slaves?,Africans,,,Native Americans,Japanese,Italians
Why did the colonists fight the British?,Because of high taxes,Because they didn't have self-government,,Because they didn't have freedom,Because they wanted to form their own country,Because they wanted to trade with France
Who wrote the Declaration of Independence?,Thomas Jefferson,,,George Washington,Benjamin Franklin,John Jay
When was the Declaration of Independence adopted?,"July 4, 1776",,,"July 4, 1787","July 4, 1778","July 4, 1782"
There were 13 original states. Which of these are original states?,Massachusetts,New York,Virginia,Maine,California,West Virginia
What happened at the Constitutional Convention?,The Constitution was written.,,,The Declaration of Independence was written.,America declared war against Great Britain.,The Constitution was amended to included 27 amendments.
When was the Constitution written?,1787,,,1776,1812,1789
The Federalist Papers supported the passage of the U.S. Constitution. Name one of the writers.,James Madison,John Jay,Publius,Thomas Jefferson,George Washington,Benjamin Franklin
What is one thing Benjamin Franklin is famous for?,U.S. Diplomat,Started the first free libraries,Oldest member of the Constitutional Convention,Creating electricity,Working with England to prevent war,Third President
Who is the Father of Our Country?,George Washington,,,James Madison,Benjamin Franklin,Thomas Jefferson
Who was the first President?,George Washington,,,Thomas Jefferson,Abraham Lincoln,Benjamin Franklin
What territory did the United States buy from France in 1803?,Louisiana,,,Mexican Cession,Texas,Paris
Name one war fought by the United States in the 1800s.,War of 1812,Mexican-American War,Civil War,World War I,World War II,Cold War
Name the U.S. war between the North and the South.,Civil War,The War between the States,,Mexican-American War,War of 1812,World War I
Name one problem that led to the Civil War.,Slavery,Economic reasons,States' rights,Communism,Terrorism,Loyalty to England
What was one important thing that Abraham Lincoln did?,Freed the slaves,Saved the Union,Led the United States during the Civil War,Declared our independence from Great Britain,Fight for women's rights,Sign the 19th amendment
What did the Emancipation Proclamation do?,Freed the slaves,,,Saved the Union,Led the United States during the Civil War,Declared our independence from Great Britain
What did Susan B. Anthony do?,Fought for women's rights,Fought for civil rights,,Run for president,Worked for equality for all Americans,Draft the 19th amendment
Name one war fought by the United States in the 1900s.,World War I,World War II,Korean War,War of 1812,Mexican-American War,Civil War
Who was President during World War I?,Woodrow Wilson,,,Franklin Roosevelt,Eisenhower,Abraham Lincoln
Who was President during the Great Depression and World War II?,Franklin Roosevelt,,,Woodrow Wilson,Eisenhower,Abraham Lincoln
Who did the United States fight in World War II?,Japan,Germany,Italy,China,Russia,Mexico
"Before he was President, Eisenhower was a general. What war was he in?",World War II,,,World War I,Civil War,Korean War
"During the Cold War, what was the main concern of the United States?",Communism,,,Nuclear arms,Nazis,Terrorism
What movement tried to end racial discrimination?,Civil Rights Movement,,,Suffrage Movement,Civil War,Emancipation Proclamation
"What did Martin Luther King, Jr. do?",Fought for civil rights,Worked for equality for all Americans,,Fight for women's rights,Run for president,Champion violent protest
"What major event happened on September 11, 2001, in the United States?",Terrorists attacked the United States,,,Seven planes attacked the United States,Iraq launched war against the United States,John F. Kennedy was assassinated
Name one American Indian tribe in the United States.,Sioux,Navajo,Cherokee,Texans,Native Americans,Oklahoma
Name one of the two longest rivers in the United States.,Missouri River,Mississippi River,,Colorado River,Charles River,Rio Grande
What ocean is on the West Coast of the United States?,Pacific Ocean,,,Atlantic Ocean,Indian Ocean,Arctic Ocean
What ocean is on the East Coast of the United States?,Atlantic Ocean,,,Pacific Ocean,Indian Ocean,Arctic Ocean
Name one U.S. territory.,Guam,Puerto Rico,U.S. Virgin Islands,Texas,New York,Massachusetts
Name one state that borders Canada.,Maine,New York,Washington,Hawaii,South Dakota,Iowa
Name one state that borders Mexico.,California,New Mexico,Texas,Louisiana,Florida,Puerto Rico
What is the capital of the United States?,"Washington, D.C.",,,New York,Boston,Chicago
Where is the Statue of Liberty?,New York Harbor,Liberty Island,,"Washington, D.C.",Boston,New York City
Why does the flag have 13 stripes?,Because there were 13 original colonies,Because the stripes represent the original colonies,,Because there were 50 original colonies,Because the stripes represent the current states,Because there were 13 original territories
Why does the flag have 50 stars?,Because there is one star for each state,Because each star represents a state,Because there are 50 states,Because there were 13 original colonies,Because the stars represent the original colonies,Because there are 50 total states and territories
What is the name of the national anthem?,The Star-Spangled Banner,,,US National Anthem,The Spangled-Star Banner,The Spangled-Star Anthem
When do we celebrate Independence Day?,4-Jul,,,1-Jan,4-May,25-Dec
Name two national U.S. holidays.,Christmas,Thanksgiving,Independence Day,Easter,Chinese New Year,Hanukkah
